 n     f1     f2    f2/f1
-------------------------
 2      1      2     2.00
 3      2      6     3.00
 4      4     12     3.00
 5      6     20     3.33
 6      9     30     3.33
 7     12     42     3.50
 8     16     56     3.50
 9     20     72     3.60
10     25     90     3.60
11     30    110     3.67
12     36    132     3.67
13     42    156     3.71
14     49    182     3.71
15     56    210     3.75
16     64    240     3.75
17     72    272     3.78
18     81    306     3.78
19     90    342     3.80
20    100    380     3.80
